timestamp,code_hash,mech,L,seed,g,h,delta,chi,kappa,M_tot,eta_M,omega_M,T_max,status,wall_s,out
2026-06-15T11:23:49,43d8a44465,home,64,1,3.0,0.0,0.05,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.66,runs/summary.csv
2026-06-15T11:23:51,43d8a44465,home,64,0,3.0,0.0,0.1,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.48,runs/summary.csv
2026-06-15T11:23:54,43d8a44465,home,64,1,3.0,0.0,0.1,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.6,runs/summary.csv
2026-06-15T11:23:56,43d8a44465,home,64,0,3.0,0.0,0.2,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.46,runs/summary.csv
2026-06-15T11:23:59,43d8a44465,home,64,1,3.0,0.0,0.2,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.62,runs/summary.csv
2026-06-15T11:24:02,43d8a44465,home,64,0,3.0,0.0,0.3,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.63,runs/summary.csv
2026-06-15T11:24:04,43d8a44465,home,64,1,3.0,0.0,0.3,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.56,runs/summary.csv
2026-06-15T11:24:07,43d8a44465,home,64,0,3.0,0.0,0.5,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.61,runs/summary.csv
2026-06-15T11:24:09,43d8a44465,home,64,1,3.0,0.0,0.5,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.43,runs/summary.csv
2026-06-15T11:24:18,43d8a44465,home,64,0,3.0,0.0,0.8,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.37,runs/summary.csv
2026-06-15T11:24:20,43d8a44465,home,64,1,3.0,0.0,0.8,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.52,runs/summary.csv
2026-06-15T11:24:23,43d8a44465,home,64,0,3.0,0.0,1.2,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.57,runs/summary.csv
2026-06-15T11:24:25,43d8a44465,home,64,1,3.0,0.0,1.2,98.304,0.0,125.0,0.1,0.06666666666666667,120,done,2.66,runs/summary.csv
2026-06-15T11:56:53,43d8a44465,dishome,64,0,0.0,0.0,0.0,0.0,0.0,125.0,0.1,0.06666666666666667,120,done,2.28,runs/summary.csv
